Acre;AC;164.123,040	
Alagoas;AL;27.778,506
Amapá;AP;142.828,521
Amazonas;AM;1.559.159,148
Bahia Bahia;BA;564.733,177
Ceará;CE;148.920,472
Distrito Federal;DF;5.779,999
Espírito Santo;ES;46.095,583
Goiás;GO;340.111,783
Maranhão;MA;331.937,450
Mato Grosso;MT;903.366,192
Mato Grosso do Sul;MS;357.145,532
Minas Gerais;MG;586.522,122
Pará;PA;1.247.954,666
Paraíba;PB;56.585,000
Paraná;PR;199.307,922
Pernambuco;PE;98.311,616
Piauí;PI;251.577,738
Rio de Janeiro;RJ;43.780,172
Rio Grande do Norte;RN;52.811,047
Rio Grande do Sul;RS;281.730,223
Rondônia;RO;237.590,547
Roraima;RR;224.300,506
Santa Catarina;SC;95.736,165
São Paulo;SP;248.222,362
Sergipe;SE;21.915,116
Tocantins;TO;277.720,520